"ntree","mtry","nodesize","train_nmse","train_rmse","test_nmse","test_rmse"
25,5.47722557505166,5,0.101940584648036,0.319263770085641,0.497768781029637,0.705301851196645
25,5.47722557505166,10,0.141789323962943,0.376539774050701,0.494924059647846,0.703267308380861
25,5.47722557505166,15,0.173796312963131,0.416877585337107,0.497855870018352,0.705367339994337
25,4.90689059560852,5,0.101940584648036,0.319263770085641,0.497768781029637,0.705301851196645
25,4.90689059560852,10,0.141789323962943,0.376539774050701,0.494924059647846,0.703267308380861
25,4.90689059560852,15,0.173796312963131,0.416877585337107,0.497855870018352,0.705367339994337
25,10,5,0.0933134456045979,0.305457496948878,0.479765755539676,0.692351051256105
25,10,10,0.125376097775649,0.354069771504607,0.478308619634908,0.691392430221575
25,10,15,0.155435956283447,0.394240623973872,0.479585038392593,0.6922479426158
50,5.47722557505166,5,0.0955896856186216,0.309160756478884,0.485623715838145,0.696656233083994
50,5.47722557505166,10,0.1352294093102,0.367722449800791,0.486144135309429,0.697045652160544
50,5.47722557505166,15,0.168517973412805,0.410497790030159,0.486092716135386,0.69696623200033
50,4.90689059560852,5,0.0955896856186216,0.309160756478884,0.485623715838145,0.696656233083994
50,4.90689059560852,10,0.1352294093102,0.367722449800791,0.486144135309429,0.697045652160544
50,4.90689059560852,15,0.168517973412805,0.410497790030159,0.486092716135386,0.69696623200033
50,10,5,0.0868873455341899,0.294748517701356,0.465004883572714,0.681634987950667
50,10,10,0.119557018065021,0.345757593547561,0.469726115235575,0.685148957529386
50,10,15,0.149818262280244,0.387047719987,0.469937458880248,0.685313388134656
100,5.47722557505166,5,0.0921629384698461,0.303571747363631,0.477784682052668,0.691011772798617
100,5.47722557505166,10,0.131420479829315,0.362511254672027,0.478325260745436,0.691409364589304
100,5.47722557505166,15,0.166538035418166,0.408079659408374,0.481648193326638,0.693777104775535
100,4.90689059560852,5,0.0921629384698461,0.303571747363631,0.477784682052668,0.691011772798617
100,4.90689059560852,10,0.131420479829315,0.362511254672027,0.478325260745436,0.691409364589304
100,4.90689059560852,15,0.166538035418166,0.408079659408374,0.481648193326638,0.693777104775535
100,10,5,0.08390619729881,0.289656267400512,0.460111798694063,0.67807793517385
100,10,10,0.116147948094738,0.3407955091893,0.464057790413529,0.681004460272253
100,10,15,0.146398712123924,0.382608647756571,0.466095901165701,0.682472860437185
