"gamma","max_depth","nround","train_nmse","train_rmse","test_nmse","test_rmse"
0,3,100,0.370935467294873,0.609017553259078,0.429854241765315,0.655480082910917
0,3,200,0.285744633857346,0.534520692282218,0.371540066668505,0.609346108408426
0,3,300,0.238886480797155,0.488739645649391,0.344290021326567,0.586538849988211
0,6,100,0.134717256665637,0.367013523495131,0.328177962953796,0.57251680600991
0,6,200,0.0728092766397706,0.269815219556633,0.306962626727617,0.553655250941256
0,6,300,0.045132993916073,0.212428123832092,0.301456973322439,0.548623305844996
0,9,100,0.0255477293743087,0.159796701394443,0.322001041026218,0.567054773336144
0,9,200,0.00609909276891322,0.0780645655115974,0.316795116246599,0.562449784440402
0,9,300,0.00179278166842749,0.0423078344283654,0.315578315241942,0.561376844033177
5,3,100,0.381675112997041,0.617716902978289,0.438121940158317,0.661680805840103
5,3,200,0.375532007748066,0.612653724320759,0.433536328027668,0.658147756144881
5,3,300,0.375532008056817,0.612653724573595,0.433536328376758,0.658147756412344
5,6,100,0.266747765195563,0.515961484537386,0.385527985375747,0.620430107187488
5,6,200,0.266747766155829,0.515961485480889,0.385527985914203,0.620430107631915
5,6,300,0.266747766323261,0.515961485643798,0.38552798606247,0.620430107756501
5,9,100,0.209434715334044,0.457520663570203,0.377374090171548,0.614082117026387
5,9,200,0.209434715504481,0.457520663763311,0.377374090079807,0.61408211695689
5,9,300,0.209434715563421,0.457520663829716,0.377374089979874,0.61408211687607
10,3,100,0.436076739012785,0.660127359800123,0.480451290196804,0.692962941411613
10,3,200,0.436076741074326,0.660127361390807,0.480451292334212,0.69296294296642
10,3,300,0.436076741253955,0.660127361527545,0.480451292567666,0.692962943136085
10,6,100,0.332019876533608,0.576127116577553,0.423412570655079,0.650485510571613
10,6,200,0.332019877045301,0.576127117022626,0.423412571173496,0.650485510977426
10,6,300,0.332019877181075,0.576127117140809,0.423412571300713,0.650485511077677
10,9,100,0.270031700559137,0.519531220075212,0.398152719617896,0.630573526932893
10,9,200,0.270031700599029,0.519531220118943,0.39815271959986,0.630573526923644
10,9,300,0.270031700610401,0.519531220131344,0.39815271964612,0.630573526961822
