"feature","predictive_power"
"L3_AER_AI_sensor_altitude",0.0593270112443872
"L3_CO_CO_column_number_density",0.0414956176184733
"L3_NO2_NO2_slant_column_number_density",0.0246692063795628
"L3_O3_solar_azimuth_angle",0.00116640726690598
"L3_HCHO_tropospheric_HCHO_column_number_density",0.00115922072344021
"L3_NO2_NO2_column_number_density",-0.000718405470172878
"L3_AER_AI_solar_azimuth_angle",-0.000742435553327869
"L3_NO2_tropospheric_NO2_column_number_density",-0.00332923724597434
"L3_HCHO_HCHO_slant_column_number_density",-0.00406886662596673
"L3_CLOUD_solar_azimuth_angle",-0.00629885178765432
